developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating,coppaRisk
NORWAY,RO,127731,Sports,,smartphone,TRUE,TRUE,low,99,14.01722003,160.4,4,medium,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,50 - 100,GLOBAL,TRUE,,,99,,17.5,0,,low,low,FALSE
UNITED ARAB EMIRATES,CZ,51143,Games,50000000 - 100000000,GLOBAL,TRUE,TRUE,low,0,31.88316297,30.76666667,4,,low,low,FALSE
GERMANY,GLOBAL,1074,Games,,GLOBAL,TRUE,,,99,,71.53333333,4,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,17,Tools,1000 - 5000,GLOBAL,TRUE,,,99,,52.4,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,50 - 100,GLOBAL,TRUE,,,0,,37.7,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,237,Games,,GLOBAL,TRUE,,,,,88.26666667,0,medium,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,01-May,GLOBAL,TRUE,,,99,,24.23333333,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,50 - 100,GLOBAL,,,,99,,76.26666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,100 - 500,GLOBAL,TRUE,,,0,,71.43333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,,,,,,102.3333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,,404,Games,10000 - 50000,GLOBAL,TRUE,,,99,132.2359627,30.16666667,4,,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Education,10000 - 50000,GLOBAL,TRUE,,,0,,74.33333333,3,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,48,Games,,GLOBAL,,,,,,128.7666667,4,,low,low,FALSE
FINLAND,GLOBAL,31,Games,50000 - 100000,tablet,TRUE,FALSE,high,0,,8.966666667,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Games,Oct-50,GLOBAL,TRUE,,,0,,75.2,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,164,Tools,10000 - 50000,GLOBAL,TRUE,,,0,,69.66666667,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,TRUE,,,,,57.2,0,,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,112,Entertainment,10000 - 50000,GLOBAL,TRUE,FALSE,high,0,,60.36666667,4,medium,high,low,FALSE
SINGAPORE,GLOBAL,0,Beauty,100 - 500,GLOBAL,TRUE,,,0,,80.1,0,,low,low,FALSE
UNITED STATES,GLOBAL,0,Business,Oct-50,GLOBAL,TRUE,,,99,,91.23333333,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Health & Fitness,,GLOBAL,,,,,,135.6,1,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,05-Oct,GLOBAL,TRUE,,,0,,25.8,,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GT,21,Lifestyle,10000 - 50000,GLOBAL,TRUE,,,0,0.077814811,3.633333333,3,,low,low,FALSE
REPUBLIC OF KOREA,GLOBAL,111,Entertainment,10000 - 50000,GLOBAL,TRUE,,,99,,60.03333333,3,,low,low,TRUE
MONGOLIA,RU,662,Games,100000 - 500000,tablet,TRUE,TRUE,low,99,0.993548761,60.63333333,3,medium,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,147,Education,,GLOBAL,TRUE,,,0,,41.96666667,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,50 - 100,GLOBAL,,,,0,,54.5,,,low,low,FALSE
PAKISTAN,GLOBAL,30,Tools,5000 - 10000,GLOBAL,TRUE,,,0,,83.66666667,4,medium,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,9,Games,100 - 500,GLOBAL,TRUE,,,0,,12.53333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,,GLOBAL,TRUE,,,,,57.23333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,TRUE,,,0,,27.4,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,,GLOBAL,TRUE,,,,,120.7666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Events,05-Oct,GLOBAL,,,,0,,89.63333333,5,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,Oct-50,GLOBAL,TRUE,,,0,,19.56666667,,,low,low,FALSE
VIET NAM,EMEA,2653,Games,100000 - 500000,smartphone,TRUE,FALSE,high,0,126.9044984,5.9,4,,low,low,FALSE
UNITED STATES,GLOBAL,56,Education,,GLOBAL,TRUE,TRUE,low,,,95.06666667,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Personalization,10000 - 50000,GLOBAL,TRUE,,,0,,18.36666667,1,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Games,1000 - 5000,GLOBAL,TRUE,,,0,,133.2333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,31,Games,,GLOBAL,,,,,,136.4,4,low,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,50 - 100,GLOBAL,,,,0,,53.23333333,,,low,low,FALSE
PAKISTAN,GLOBAL,138,Entertainment,10000 - 50000,GLOBAL,TRUE,,,0,,99.43333333,4,medium,low,low,FALSE
