developerCountry,countryCode,userRatingCount,primaryGenreName,hasTermsOfServiceLinkRating,isCorporateEmailScore,appAge,averageUserRating,appDescriptionBrandSafetyRating,coppaRisk,minDownloads,maxDownloads,deviceType_GLOBAL,deviceType_connected-tv/ott,deviceType_smartphone,deviceType_tablet,deviceType_undetermined,isCorporateEmail_missing
NORWAY,RO,127731,Sports,0,99.0,160.4,4.0,1,False,,,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,-1,99.0,17.5,0.0,1,False,50.0,100.0,True,False,False,False,False,0
UNITED ARAB EMIRATES,CZ,51143,Games,0,0.0,30.76666667,4.0,1,False,50000000.0,100000000.0,True,False,False,False,False,0
GERMANY,GLOBAL,1074,Games,-1,99.0,71.53333333,4.0,1,False,,,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,17,Tools,-1,99.0,52.4,4.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,-1,0.0,37.7,0.0,1,False,50.0,100.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,237,Games,-1,-1.0,88.26666667,0.0,1,True,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,-1,99.0,24.23333333,0.0,1,False,1.0,5.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,-1,99.0,76.26666667,0.0,1,False,50.0,100.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,-1,0.0,71.43333333,0.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,-1,-1.0,102.3333333,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Education,-1,0.0,74.33333333,3.0,1,True,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,48,Games,-1,-1.0,128.7666667,4.0,1,False,,,True,False,False,False,False,1
FINLAND,GLOBAL,31,Games,1,0.0,8.966666667,3.0,1,False,50000.0,100000.0,False,False,False,True,False,0
